id,display_name,fx_stablecoin,max_slippage_percentage,status
ATOM-EUR,ATOM-EUR,False,0.03000000,online
LINK-USD,LINK-USD,False,0.03000000,online
XLM-BTC,XLM-BTC,False,0.03000000,online
GNO-USD,GNO-USD,False,0.03000000,online
FIL-BTC,FIL-BTC,False,0.03000000,online
REQ-GBP,REQ-GBP,False,0.03000000,delisted
LSETH-ETH,LSETH-ETH,True,0.01000000,online
MANA-BTC,MANA-BTC,False,0.03000000,online
LOKA-USD,LOKA-USD,False,0.03000000,online
FOX-USDT,FOX-USDT,False,0.03000000,delisted
SKL-USD,SKL-USD,False,0.03000000,online
KRL-EUR,KRL-EUR,False,0.05000000,delisted
KAVA-USD,KAVA-USD,False,0.03000000,online
AAVE-EUR,AAVE-EUR,False,0.03000000,online
GLM-USD,GLM-USD,False,0.03000000,online
LCX-USD,LCX-USD,False,0.03000000,online
ORN-USD,ORN-USD,False,0.03000000,online
FORTH-GBP,FORTH-GBP,False,0.03000000,delisted
POND-USD,POND-USD,False,0.03000000,online
RONIN-USD,RONIN/USD,False,0.03000000,online
T-USD,T-USD,False,0.03000000,online
GMT-USDT,GMT-USDT,False,0.03000000,online
BICO-EUR,BICO-EUR,False,0.03000000,online
OMG-BTC,OMG-BTC,False,0.03000000,delisted
GALA-USDT,GALA-USDT,False,0.03000000,delisted
ZRX-USD,ZRX-USD,False,0.03000000,online
MINA-EUR,MINA-EUR,False,0.03000000,online
AERGO-USD,AERGO-USD,False,0.03000000,online
WLUNA-USDT,WLUNA-USDT,False,0.10000000,delisted
ENJ-USDT,ENJ-USDT,False,0.03000000,online
SUSHI-USD,SUSHI-USD,False,0.03000000,online
AVAX-BTC,AVAX-BTC,False,0.03000000,online
BAT-BTC,BAT-BTC,False,0.03000000,online
DOGE-BTC,DOGE-BTC,False,0.03000000,online
GALA-EUR,GALA-EUR,False,0.03000000,delisted
STRK-USD,STRK/USD,False,0.03000000,online
GRT-BTC,GRT-BTC,False,0.03000000,online
SUKU-EUR,SUKU-EUR,False,0.03000000,delisted
CRPT-USD,CRPT-USD,False,0.03000000,delisted
POLS-USD,POLS-USD,False,0.03000000,online
LDO-USD,LDO-USD,False,0.03000000,online
TRB-BTC,TRB-BTC,False,0.03000000,delisted
LTC-EUR,LTC-EUR,False,0.03000000,online
XYO-BTC,XYO-BTC,False,0.03000000,delisted
OGN-BTC,OGN-BTC,False,0.03000000,delisted
CRV-EUR,CRV-EUR,False,0.03000000,online
SHDW-USD,SHDW/USD,False,0.03000000,online
UNI-USD,UNI-USD,False,0.03000000,online
NKN-GBP,NKN-GBP,False,0.03000000,delisted
CTX-USD,CTX-USD,False,0.05000000,online
XYO-EUR,XYO-EUR,False,0.03000000,delisted
PRQ-USDT,PRQ-USDT,False,0.03000000,delisted
DAI-USD,DAI-USD,True,0.01000000,online
ANKR-EUR,ANKR-EUR,False,0.03000000,online
RAD-EUR,RAD-EUR,False,0.03000000,delisted
POND-USDT,POND-USDT,False,0.03000000,delisted
DAR-USD,DAR-USD,False,0.03000000,online
NKN-BTC,NKN-BTC,False,0.03000000,delisted
ENJ-USD,ENJ-USD,False,0.03000000,online
ICP-BTC,ICP-BTC,False,0.03000000,online
IOTX-EUR,IOTX-EUR,False,0.03000000,delisted
WCFG-EUR,WCFG-EUR,False,0.03000000,delisted
OMG-USD,OMG-USD,False,0.03000000,delisted
ADA-USDC,ADA-USDC,False,0.03000000,delisted
1INCH-BTC,1INCH-BTC,False,0.03000000,online
ETH-GBP,ETH-GBP,False,0.03000000,online
USDT-USDC,USDT-USDC,True,0.01000000,online
IMX-USD,IMX-USD,False,0.03000000,online
DNT-USD,DNT-USD,False,0.05000000,online
XLM-USD,XLM-USD,False,0.03000000,online
SNX-GBP,SNX-GBP,False,0.03000000,online
VET-USD,VET-USD,False,0.03000000,online
MATIC-GBP,MATIC-GBP,False,0.03000000,online
KRL-USDT,KRL-USDT,False,0.05000000,delisted
BAND-EUR,BAND-EUR,False,0.03000000,delisted
EUROC-USD,EURC-USD,True,0.01000000,online
ZRX-BTC,ZRX-BTC,False,0.03000000,delisted
GTC-USD,GTC-USD,False,0.05000000,online
BONK-USD,BONK-USD,False,0.03000000,online
WCFG-BTC,WCFG-BTC,False,0.03000000,delisted
ENS-USDT,ENS-USDT,False,0.03000000,online
RNDR-EUR,RNDR-EUR,False,0.03000000,online
ABT-USD,ABT-USD,False,0.03000000,online
BNT-BTC,BNT-BTC,False,0.03000000,delisted
MIR-EUR,MIR-EUR,False,0.03000000,delisted
TRAC-EUR,TRAC-EUR,False,0.03000000,delisted
SOL-GBP,SOL-GBP,False,0.03000000,online
SHIB-USDT,SHIB-USDT,False,0.03000000,online
FIDA-USD,FIDA-USD,False,0.03000000,online
ADA-USDT,ADA-USDT,False,0.03000000,online
OP-USD,OP-USD,False,0.03000000,online
CRO-EUR,CRO-EUR,False,0.03000000,online
ANT-USD,ANT-USD,False,0.03000000,delisted
PERP-EUR,PERP-EUR,False,0.03000000,delisted
MAGIC-USD,MAGIC-USD,False,0.03000000,online
SHPING-USDT,SHPING-USDT,False,0.03000000,delisted
SAND-USDT,SAND-USDT,False,0.03000000,online
GRT-USD,GRT-USD,False,0.03000000,online
ERN-USD,ERN-USD,False,0.03000000,online
SUKU-USDT,SUKU-USDT,False,0.03000000,delisted
BADGER-USD,BADGER-USD,False,0.03000000,online
API3-USD,API3-USD,False,0.03000000,online
MONA-USD,MONA-USD,False,0.05000000,delisted
POWR-USD,POWR-USD,False,0.03000000,online
BNT-EUR,BNT-EUR,False,0.03000000,delisted
ETH-EUR,ETH-EUR,False,0.03000000,online
VGX-USD,VGX-USD,False,0.03000000,delisted
APE-EUR,APE-EUR,False,0.03000000,online
GNO-USDT,GNO-USDT,False,0.03000000,delisted
ATA-USD,ATA-USD,False,0.03000000,delisted
ICP-GBP,ICP-GBP,False,0.03000000,online
GAL-USD,GAL-USD,False,0.03000000,online
ORN-BTC,ORN-BTC,False,0.03000000,delisted
XTZ-GBP,XTZ-GBP,False,0.03000000,online
LQTY-EUR,LQTY-EUR,False,0.03000000,delisted
LRC-BTC,LRC-BTC,False,0.03000000,online
KRL-USD,KRL-USD,False,0.05000000,online
SEAM-USD,SEAM-USD,False,0.03000000,online
MULTI-USD,MULTI-USD,False,0.03000000,delisted
XTZ-BTC,XTZ-BTC,False,0.03000000,online
DOT-USDT,DOT-USDT,False,0.03000000,online
WCFG-USD,WCFG-USD,False,0.03000000,online
INDEX-USD,INDEX-USD,False,0.03000000,online
EGLD-USD,EGLD-USD,False,0.03000000,online
REN-USD,REN-USD,False,0.03000000,delisted
ALGO-BTC,ALGO-BTC,False,0.03000000,online
MASK-GBP,MASK-GBP,False,0.05000000,online
XTZ-EUR,XTZ-EUR,False,0.03000000,online
CLV-USD,CLV-USD,False,0.03000000,online
ORCA-USD,ORCA-USD,False,0.03000000,online
BUSD-USD,BUSD-USD,True,0.01000000,delisted
ROSE-USDT,ROSE-USDT,False,0.03000000,online
BIT-USDT,BIT-USDT,False,0.03000000,delisted
STG-USDT,STG-USDT,False,0.03000000,delisted
FLOW-USDT,FLOW-USDT,False,0.03000000,online
SPELL-USD,SPELL-USD,False,0.03000000,online
JUP-USD,JUP-USD,False,0.05000000,delisted
NKN-USD,NKN-USD,False,0.03000000,online
UPI-USDT,UPI-USDT,False,0.03000000,delisted
DYP-USD,DYP-USD,False,0.03000000,online
UMA-USD,UMA-USD,False,0.03000000,online
GRT-EUR,GRT-EUR,False,0.03000000,online
ATOM-USDT,ATOM-USDT,False,0.03000000,online
LRC-USD,LRC-USD,False,0.03000000,online
DASH-USD,DASH-USD,False,0.03000000,online
BTRST-USDT,BTRST-USDT,False,0.03000000,delisted
FIS-USD,FIS-USD,False,0.03000000,online
MIR-USD,MIR-USD,False,0.03000000,delisted
DYP-USDT,DYP-USDT,False,0.03000000,delisted
BIT-USD,BIT-USD,False,0.03000000,online
BLUR-USD,BLUR-USD,False,0.03000000,online
MASK-USD,MASK-USD,False,0.05000000,online
XRP-USD,XRP-USD,False,0.05000000,online
STX-USD,STX-USD,False,0.03000000,online
LOOM-USDC,LOOM-USDC,False,0.03000000,delisted
AXS-USD,AXS-USD,False,0.03000000,online
RLC-BTC,RLC-BTC,False,0.03000000,delisted
CBETH-USD,cbETH-USD,False,0.03000000,online
ILV-USD,ILV-USD,False,0.03000000,online
